iter	Passed	Remaining
399	31449	23587
400	31531	23510
401	31606	23429
402	31681	23348
403	31754	23265
404	31829	23184
405	31905	23104
406	31967	23013
407	32047	22935
408	32127	22858
409	32201	22777
410	32276	22695
411	32354	22616
412	32435	22539
413	32519	22465
414	32596	22385
415	32665	22300
416	32742	22221
417	32815	22138
418	32890	22057
419	32969	21979
420	33048	21901
421	33131	21826
422	33209	21747
423	33284	21666
424	33358	21585
425	33438	21507
426	33516	21428
427	33592	21348
428	33669	21269
429	33743	21187
430	33825	21111
431	33902	21032
432	33980	20953
433	34050	20869
434	34119	20785
435	34195	20705
436	34266	20622
437	34343	20543
438	34405	20455
439	34476	20372
440	34559	20296
441	34648	20224
442	34736	20151
443	34805	20068
444	34873	19983
445	34942	19899
446	35007	19814
447	35075	19729
448	35152	19650
449	35223	19568
450	35299	19488
451	35371	19407
452	35449	19328
453	35533	19254
454	35609	19174
455	35670	19086
456	35746	19007
457	35826	18930
458	35903	18851
459	35987	18776
460	36061	18695
461	36140	18618
462	36203	18531
463	36276	18451
464	36350	18370
465	36426	18291
466	36499	18210
467	36567	18127
468	36654	18053
469	36723	17970
470	36805	17894
471	36884	17816
472	36957	17736
473	37035	17658
474	37125	17585
475	37188	17500
476	37269	17423
477	37343	17343
478	37419	17264
479	37500	17187
480	37575	17108
481	37648	17027
482	37724	16948
483	37796	16867
484	37874	16789
485	37951	16711
486	38020	16628
487	38097	16550
488	38171	16470
489	38240	16388
490	38327	16314
491	38405	16236
492	38474	16154
493	38543	16072
494	38610	15990
495	38682	15909
496	38756	15829
497	38824	15748
498	38898	15668
499	38979	15591
500	39057	15513
501	39129	15433
502	39211	15357
503	39290	15279
504	39368	15201
505	39450	15125
506	39516	15042
507	39591	14963
508	39671	14886
509	39755	14810
510	39823	14729
511	39897	14650
512	39982	14574
513	40062	14497
514	40136	14417
515	40229	14345
516	40310	14268
517	40395	14192
518	40457	14109
519	40536	14031
520	40612	13953
521	40686	13873
522	40768	13797
523	40849	13720
524	40940	13646
525	41014	13567
526	41094	13490
527	41162	13408
528	41238	13330
529	41310	13250
530	41383	13171
531	41457	13091
532	41522	13009
533	41602	12932
534	41678	12853
535	41754	12775
536	41848	12702
537	41925	12624
538	41997	12544
539	42076	12467
540	42153	12388
541	42229	12310
542	42307	12232
543	42382	12153
544	42463	12076
545	42541	11998
546	42617	11920
