iter	MultiClass
0	1.00946636
1	0.9321160454
2	0.8630067133
3	0.8024044842
4	0.7497971939
5	0.7013856783
6	0.6582874914
7	0.6188855003
8	0.5821228916
9	0.5483390597
10	0.5170911789
11	0.4884066826
12	0.4618010257
13	0.4377562768
14	0.4157196972
15	0.3948985847
16	0.375260843
17	0.3574586611
18	0.3402554213
19	0.3238632558
20	0.3089130497
21	0.2951608332
22	0.2818709487
23	0.2692159394
24	0.257713295
25	0.2466535115
26	0.2360995344
27	0.226447422
28	0.2172233622
29	0.2086603061
30	0.2005764494
31	0.1933939886
32	0.1857940107
33	0.1791077682
34	0.1725899548
35	0.1661767484
36	0.1604442874
37	0.1547597427
38	0.1492454177
39	0.144140918
40	0.1393458333
41	0.1350185044
42	0.130729784
43	0.1267199686
44	0.1228292669
45	0.119252715
46	0.1156406618
47	0.1122438348
48	0.1093076184
49	0.1063151017
50	0.1034359693
51	0.1010314778
52	0.0986223797
53	0.09613563324
54	0.09380452516
55	0.09169518275
56	0.08973560182
57	0.08774175521
58	0.08577374256
59	0.08401044651
60	0.08239064147
61	0.08067064083
62	0.07907875482
63	0.077586338
64	0.07610484499
65	0.07475566289
66	0.07349505355
67	0.0723681547
68	0.07126299764
69	0.07020777144
70	0.0690734814
71	0.06818494332
72	0.06712178038
73	0.06613440378
74	0.06517090622
75	0.06439109798
76	0.06364622844
77	0.06291810068
78	0.0621064847
79	0.0612660111
80	0.06045742843
81	0.0597989263
82	0.05895671241
83	0.05850739331
84	0.05769903924
85	0.0571160176
86	0.05652723637
87	0.05611877507
88	0.05571201705
89	0.05547276389
90	0.05516223978
91	0.05460911602
92	0.05439209218
93	0.05407489085
94	0.05379314254
95	0.05354073233
96	0.05310397444
97	0.05288309406
98	0.05259973994
99	0.05215950263
100	0.05165427165
101	0.05126613579
102	0.05091806739
103	0.0506155318
104	0.05026377683
105	0.04989713859
106	0.04968260923
107	0.04931569656
108	0.04921497139
109	0.04892226154
110	0.0487757958
111	0.04852488821
112	0.04823373997
113	0.04812842748
114	0.04807276063
115	0.04804176442
116	0.04788990967
117	0.04768666946
118	0.04745504154
119	0.04721377061
120	0.04697257568
121	0.04660561226
122	0.04649005592
123	0.04627465201
124	0.04613718623
125	0.04590472784
126	0.04566422666
127	0.04553945661
128	0.04534063636
129	0.04527914522
130	0.04485631886
131	0.04474570501
132	0.04458176716
133	0.0445371302
134	0.04444044037
135	0.04438373667
136	0.04433284939
137	0.04411910495
138	0.04383624055
139	0.0436583155
140	0.04354488701
141	0.04339835158
142	0.04336908208
143	0.04323465648
144	0.04310835043
145	0.04290929381
146	0.04280932064
147	0.04278377419
148	0.0425143161
149	0.04247810452
150	0.04240106065
151	0.04236213313
152	0.04209425185
153	0.04203736714
154	0.04194803161
155	0.04177517778
156	0.04149093874
157	0.04143650912
158	0.04138734014
159	0.04128388468
160	0.04109472371
161	0.0410406573
162	0.04096576942
163	0.0408969972
164	0.0407970509
165	0.04078481976
166	0.04070681207
167	0.04060380933
168	0.04048644901
169	0.04041450765
170	0.04035762784
171	0.04025118544
172	0.04018065448
173	0.04016784303
174	0.04009535424
175	0.04001886546
176	0.03976120186
177	0.03972964743
178	0.03958876932
179	0.03953059548
180	0.03946050722
181	0.03936829684
182	0.03926864467
183	0.03917972441
184	0.03914471663
185	0.03905549053
186	0.03903658331
187	0.03896305122
188	0.03890096426
189	0.03883094321
190	0.03876206076
191	0.03871100125
192	0.03859719736
193	0.03853541628
194	0.0382687761
195	0.03821779392
196	0.03794251561
197	0.03770219218
198	0.03764194001
199	0.03750750696
200	0.03747277698
201	0.03746683334
202	0.03727020079
203	0.03719783273
204	0.0371210214
205	0.03701902845
206	0.03695792184
207	0.03683384054
208	0.0367607093
209	0.03662122218
210	0.03657207462
211	0.03652702163
212	0.03646011556
213	0.03637522176
214	0.03632378213
215	0.03614520946
216	0.03611813383
217	0.03604904024
218	0.03598451081
219	0.03583393363
220	0.03569836492
221	0.03552340737
222	0.03546084112
223	0.03541764047
224	0.03537320171
225	0.03535259613
226	0.03530719325
227	0.03517790624
228	0.0351302597
229	0.03504312471
230	0.03497517573
231	0.03485089922
232	0.03479963031
233	0.03475760548
234	0.03473111831
235	0.03460314089
236	0.0345700435
237	0.0345117977
238	0.03445100522
239	0.03443044917
240	0.0343944771
241	0.03432442642
242	0.03418410291
243	0.03412764143
244	0.03407736233
245	0.03401973613
246	0.03396541559
247	0.03390505473
248	0.03381884387
249	0.03377791188
250	0.03368539646
251	0.03364859599
252	0.03360071063
253	0.03358039711
254	0.03352556678
255	0.03348077142
256	0.03342859688
257	0.03335263451
258	0.03333299524
259	0.03321729974
260	0.03317101792
261	0.03310152726
262	0.033075454
263	0.03306798224
264	0.03298831569
265	0.03295581626
266	0.03290594523
267	0.03286673041
268	0.03282231296
269	0.03277437822
270	0.03273027242
271	0.03268300516
272	0.03262152423
273	0.03255753142
274	0.03252112719
275	0.03249142101
276	0.0324281209
277	0.03239506739
278	0.03237788394
279	0.03230969449
280	0.03220936241
281	0.03213789682
282	0.03205566047
283	0.03203748432
284	0.03196261659
285	0.03193282447
286	0.03190621123
287	0.03188697333
288	0.03185214676
289	0.0318067914
290	0.03177623146
291	0.03171157469
292	0.03166732065
293	0.03157921683
294	0.03157175779
295	0.03154092762
296	0.03149809643
297	0.0314205703
298	0.03138581456
299	0.03135743394
300	0.03132409617
301	0.03129404718
302	0.03124681107
303	0.0312123679
304	0.03118973845
305	0.03117196686
306	0.03114099849
307	0.03112029602
308	0.03110990624
309	0.03109948775
310	0.03106531144
311	0.03102749918
312	0.03101172366
313	0.03095970681
314	0.03093521704
315	0.03090538172
316	0.03086436167
317	0.03085164255
318	0.03082389043
319	0.03081119779
320	0.03078061642
321	0.03075426189
322	0.03072136945
323	0.03064907979
324	0.03059296281
325	0.03053640732
326	0.03049320085
327	0.03043196025
328	0.0303180125
329	0.03027808667
330	0.03027211118
331	0.03019983566
332	0.03015302623
333	0.0300922691
334	0.03006795871
335	0.03001632035
336	0.02996637218
337	0.02988527939
338	0.02986332156
339	0.02984833321
340	0.02978027974
341	0.02976671354
342	0.02971209373
343	0.0296777471
344	0.02964338458
345	0.02962490431
346	0.02959275168
347	0.02954395066
348	0.02950908683
349	0.02948754842
350	0.02944784072
351	0.02941749294
352	0.0293894758
353	0.0293559295
354	0.02931218867
355	0.02929435292
356	0.02927513521
357	0.02924514775
358	0.02921419867
359	0.02918149436
360	0.02916330507
361	0.02908039293
362	0.02906017637
363	0.02903981373
364	0.02902149087
365	0.02901300662
366	0.02900092779
367	0.02896817372
368	0.02891894203
369	0.02888467083
370	0.02886229651
371	0.02882879551
372	0.02880780729
373	0.02875864731
374	0.02875197797
375	0.028717992
376	0.02870029251
377	0.02868718604
378	0.02864525201
379	0.02861503905
380	0.028587515
381	0.02853048312
382	0.02849705148
383	0.02847353767
384	0.02842029614
385	0.0283790067
386	0.02832706164
387	0.02827870709
388	0.02827193917
389	0.02824937331
390	0.02823172073
391	0.02821897788
392	0.02816685366
393	0.02814615992
394	0.02805261899
395	0.02802051271
396	0.02800585435
397	0.02796762355
398	0.02792515075
399	0.02788186047
400	0.02785252632
401	0.02784101862
402	0.02781926727
403	0.02780140458
404	0.02777380951
405	0.02775875373
406	0.02773688711
407	0.02765423212
408	0.02764303385
409	0.02760884197
410	0.02756572642
411	0.02755828208
412	0.02753868598
413	0.02750226502
414	0.02741846423
415	0.02739412487
416	0.02736443228
417	0.02732640442
418	0.02730999485
419	0.02727950033
420	0.02727270285
421	0.02723073333
422	0.02718743047
423	0.0271765301
424	0.02716958176
425	0.02709290745
426	0.02706967611
427	0.02705045446
428	0.02697898762
429	0.02695661408
430	0.02694427362
431	0.02689727202
432	0.0268676394
433	0.02685221619
434	0.02682393978
435	0.02678906221
436	0.02674103573
437	0.02669648779
438	0.02667922394
439	0.02665327031
440	0.02660952112
441	0.0265839336
442	0.02655686103
443	0.0264944257
444	0.02647110921
445	0.02644907085
446	0.0264305052
447	0.02641959695
448	0.02640837405
449	0.02636864671
450	0.02634596119
451	0.02633095538
452	0.02629433666
453	0.02627183821
454	0.02623476852
455	0.02622567941
456	0.02620162351
457	0.02618258708
458	0.02617134419
459	0.02616509222
460	0.0261494239
461	0.02612975375
462	0.02609955191
463	0.02608605948
464	0.02606239589
465	0.02602112943
466	0.02600841996
467	0.02598036025
468	0.02596603827
469	0.02590327565
470	0.02587673553
471	0.02583936853
472	0.02581813543
473	0.0257979473
474	0.02576890083
475	0.02575589409
476	0.02572792873
477	0.02569586643
478	0.02569243403
479	0.02567979701
480	0.02565136669
481	0.02560443475
482	0.02558524214
483	0.02555591706
484	0.02552038385
485	0.02550909161
486	0.02548961315
487	0.02548118871
488	0.02546588243
489	0.02544597531
490	0.02543300578
491	0.02540440876
492	0.02538031913
493	0.02536927056
494	0.02535797078
495	0.02532356312
496	0.0252894014
497	0.02528037402
498	0.02523494081
499	0.02521377246
500	0.0251632021
501	0.02510843124
502	0.02509549742
503	0.0250669649
504	0.02500501923
505	0.02497896572
506	0.02495371848
507	0.02493023136
508	0.02491800726
509	0.02490197941
510	0.02488043392
511	0.02486274249
512	0.0248614404
513	0.02485065618
514	0.02481710197
515	0.02479546788
516	0.02477031099
517	0.02475916584
518	0.02473424468
519	0.02470201589
520	0.02468897368
521	0.02465216349
522	0.02463020731
523	0.02461032603
524	0.02459824638
525	0.02458531095
526	0.02457098828
527	0.02453909511
528	0.02448930199
529	0.02445497684
530	0.02443172877
531	0.02440168227
532	0.02438409946
533	0.02437164655
534	0.02435096129
535	0.02433303794
